# start,end,label
0.00,2.30,reposo
2.30,2.50,ignore
2.50,4.00,abrir
4.00,4.20,ignore
4.20,6.10,reposo
6.10,6.30,ignore
6.30,7.70,abrir
7.70,7.90,ignore
7.90,10.20,reposo
10.20,10.40,ignore
10.40,12.00,abrir
12.00,12.20,ignore
12.20,14.30,reposo
14.30,14.50,ignore
14.50,15.90,abrir
15.90,16.10,ignore
16.10,18.10,reposo
18.10,18.30,ignore
18.30,19.90,abrir
19.90,20.20,ignore
20.20,22.10,reposo
22.10,22.30,ignore
22.30,24.00,abrir
24.00,24.20,ignore
24.20,26.20,reposo
26.20,26.40,ignore
26.40,27.80,abrir
27.80,28.00,ignore
28.00,29.80,reposo
29.80,30.00,ignore
30.00,31.50,abrir
