#start,end,label
0.00,2.30,reposo
2.30,2.60,ignore
2.60,4.20,pinza
4.20,4.40,ignore
4.40,6.20,reposo
6.20,6.50,ignore
6.50,8.20,pinza
8.20,8.40,ignore
8.40,10.30,reposo
10.30,10.50,ignore
10.50,12.00,pinza
12.00,12.10,ignore
12.10,14.30,reposo
14.30,14.50,ignore
14.50,16.20,pinza
16.20,16.30,ignore
16.30,18.30,reposo
18.30,18.50,ignore
18.50,19.90,pinza
19.90,20.10,ignore
20.10,22.10,reposo
22.10,22.30,ignore
22.30,23.90,pinza
23.90,24.00,ignore
24.00,26.10,reposo
26.10,26.30,ignore
26.30,27.90,pinza
27.90,28.00,ignore
28.00,29.90,reposo
29.90,30.20,ignore
30.20,31.60,pinza
