#start,end,label
0.00,2.30,reposo
2.30,2.50,ignore
2.50,4.10,cerrar
4.10,4.30,ignore
4.30,6.00,reposo
6.00,6.20,ignore
6.20,7.90,cerrar
7.90,8.10,ignore
8.10,10.00,reposo
10.00,10.20,ignore
10.20,11.70,cerrar
11.70,11.90,ignore
11.90,14.00,reposo
14.00,14.20,ignore
14.20,15.90,cerrar
15.90,16.10,ignore
16.10,18.20,reposo
18.20,18.40,ignore
18.40,20.00,cerrar
20.00,20.20,ignore
20.20,22.30,reposo
22.30,22.50,ignore
22.50,24.00,cerrar
24.00,24.10,ignore
24.10,26.10,reposo
26.10,26.30,ignore
26.30,27.80,cerrar
27.80,27.90,ignore
27.90,29.70,reposo
29.70,29.90,ignore
29.90,31.10,cerrar
