# start,end,label
0.00,2.25,reposo
2.25,2.55,ignore
2.55,4.20,abrir
4.20,4.50,ignore
4.50,6.30,reposo
6.30,6.60,ignore
6.60,7.90,abrir
7.90,8.20,ignore
8.20,10.10,reposo
10.10,10.25,ignore
10.25,11.70,abrir
11.70,12.00,ignore
12.00,14.10,reposo
14.10,14.30,ignore
14.30,15.75,abrir
15.75,16.05,ignore
16.05,18.00,reposo
18.00,18.20,ignore
18.20,19.80,abrir
19.80,20.00,ignore
20.00,22.10,reposo
22.10,22.30,ignore
22.30,23.90,abrir
23.90,24.10,ignore
24.10,26.00,reposo
26.00,26.20,ignore
26.20,27.60,abrir
27.60,28.00,ignore
28.00,30.20,reposo
30.20,30.40,ignore
30.40,31.60,abrir
31.60,31.70,ignore
