#start,end,label
0.00,3.40,reposo
3.40,3.60,ignore
3.60,7.80,cerrar
7.80,8.00,ignore
8.00,9.50,abrir
9.50,9.60,ignore
9.60,18.30,reposo
18.30,18.50,ignore
18.50,21.40,pinza
21.40,21.50,ignore
21.50,23.30,reposo
23.30,23.50,ignore
23.50,24.80,cerrar
24.80,25.10,ignore
25.10,27.50,abrir
27.50,27.70,ignore
27.70,29.20,pinza
29.20,29.30,ignore
29.30,33.90,reposo
33.90,34.00,ignore
34.00,36.20,abrir
36.20,36.50,ignore
36.50,38.20,cerrar
38.20,38.40,ignore
38.40,39.90,abrir
39.90,40.20,ignore
40.20,42.50,pinza
42.50,42.60,ignore
42.60,46.60,reposo
46.60,46.80,ignore
46.80,48.60,abrir
48.60,48.90,ignore
48.90,50.20,cerrar
50.20,50.40,ignore
50.40,52.00,abrir
52.00,52.10,ignore
52.10,53.60,reposo
53.60,53.80,ignore
53.80,55.20,pinza
55.20,55.30,ignore
55.30,55.70,reposo
