#start,end,label
0.00,2.10,reposo
2.10,2.30,ignore
2.30,3.80,pinza
3.80,4.00,ignore
4.00,5.90,reposo
5.90,6.10,ignore
6.10,7.80,pinza
7.80,7.90,ignore
7.90,10.30,reposo
10.30,10.50,ignore
10.50,12.00,pinza
12.00,12.20,ignore
12.20,14.40,reposo
14.40,14.60,ignore
14.60,16.20,pinza
16.20,16.40,ignore
16.40,18.10,reposo
18.10,18.30,ignore
18.30,19.80,pinza
19.80,19.90,ignore
19.90,22.00,reposo
22.00,22.20,ignore
22.20,23.80,pinza
23.80,24.00,ignore
24.00,25.70,reposo
25.70,25.90,ignore
25.90,27.60,pinza
27.60,27.70,ignore
27.70,29.70,reposo
29.70,29.90,ignore
29.90,31.50,pinza
