#start,end,label
0.00,2.20,reposo
2.20,2.40,ignore
2.40,3.60,cerrar
3.60,3.80,ignore
3.80,5.70,reposo
5.70,5.90,ignore
5.90,8.10,cerrar
8.10,8.30,ignore
8.30,10.30,reposo
10.30,10.50,ignore
10.50,12.00,cerrar
12.00,12.20,ignore
12.20,14.20,reposo
14.20,14.40,ignore
14.40,15.60,cerrar
15.60,15.80,ignore
15.80,18.20,reposo
18.20,18.40,ignore
18.40,20.00,cerrar
20.00,20.20,ignore
20.20,22.00,reposo
22.00,22.20,ignore
22.20,23.50,cerrar
23.50,23.70,ignore
23.70,26.00,reposo
26.00,26.20,ignore
26.20,27.20,cerrar
27.20,27.40,ignore
27.40,29.80,reposo
29.80,30.00,ignore
30.00,31.10,cerrar
